sku,url,nome,tipo_produto,versao_sku,chave_canonica,hotel_id,url_canonica,iata_origem,cidade_origem,estado_origem,pais_origem,mco1,iata_destino,cidade_destino,estado_destino,pais_destino,mcd1,Description,Image URL,Count In Stock,Price,Sale Price,Currency,Thumb Image URL,Product Category,Product Type,Dimensions,Brand,Product Sub Category,Label,Keywords,Color,Gender,Material,Locale
AIR-DCC7994A925DB5EA3A02,https://www.cvc.com.br/passagens/v2/search/AJU/ADB?fType=oneway&CLA=eco&ADT=1&CHD=0&INF=0&MCO1=Aracaju%20-%20SE%20%2C%20Brasil&MCD1=Adnan%20Menderes%20%2C%20%20(ADB)&Date1=2026-10-02&STO=PACKAGE,Aracaju → Izmir,AEREO,SKU_V1,SKU_V1|AEREO|AJU|ADB,,,AJU,Aracaju,Sergipe,Brasil,"Aracaju - SE , Brasil",ADB,Izmir,Turquia,Turquia,"Adnan Menderes ,  (ADB)","Voo internacional de Aracaju para Izmir, Turquia, Turquia.",https://pedrofreitas-jbq.github.io/test_hotel_list_poc/imagens/air.jpg,0,,,BRL,,Internacional,AIR,,,,Voo para Izmir,,,,,
AIR-86E1F95DF86CB8C344EA,https://www.cvc.com.br/passagens/v2/search/AJU/ADL?fType=oneway&CLA=eco&ADT=1&CHD=0&INF=0&MCO1=Aracaju%20-%20SE%20%2C%20Brasil&MCD1=Adelaide%20-%20South%20Australia%20%2C%20Australia&Date1=2026-10-02&STO=PACKAGE,Aracaju → Adelaide,AEREO,SKU_V1,SKU_V1|AEREO|AJU|ADL,,,AJU,Aracaju,Sergipe,Brasil,"Aracaju - SE , Brasil",ADL,Adelaide,South Australia,Austrália,"Adelaide - South Australia , Australia","Voo internacional de Aracaju para Adelaide, South Australia, Austrália.",https://pedrofreitas-jbq.github.io/test_hotel_list_poc/imagens/air.jpg,0,,,BRL,,Internacional,AIR,,,,Voo para Adelaide,,,,,
AIR-1F782EFB335A1E3DB6C8,https://www.cvc.com.br/passagens/v2/search/AJU/ADZ?fType=oneway&CLA=eco&ADT=1&CHD=0&INF=0&MCO1=Aracaju%20-%20SE%20%2C%20Brasil&MCD1=San%20Andres%20-%20Colombia%20%2F%20CO%2C%20Colombia&Date1=2026-10-02&STO=PACKAGE,Aracaju → San Andres,AEREO,SKU_V1,SKU_V1|AEREO|AJU|ADZ,,,AJU,Aracaju,Sergipe,Brasil,"Aracaju - SE , Brasil",ADZ,San Andres,Colombia,Colombia,"San Andres - Colombia / CO, Colombia","Voo internacional de Aracaju para San Andres, Colombia, Colombia.",https://pedrofreitas-jbq.github.io/test_hotel_list_poc/imagens/air.jpg,0,,,BRL,,Internacional,AIR,,,,Voo para San Andres,,,,,
AIR-E26CF0B7CAB3141D61FC,https://www.cvc.com.br/passagens/v2/search/AJU/AEP?fType=oneway&CLA=eco&ADT=1&CHD=0&INF=0&MCO1=Aracaju%20-%20SE%20%2C%20Brasil&MCD1=Aeroporto%20Buenos%20Aires%20Jorge%20Newbery%2C%20Buenos%20Aires%2C%20Argentina%20(AEP)&Date1=2026-10-02&STO=PACKAGE,Aracaju → Buenos Aires,AEREO,SKU_V1,SKU_V1|AEREO|AJU|AEP,,,AJU,Aracaju,Sergipe,Brasil,"Aracaju - SE , Brasil",AEP,Buenos Aires,Buenos Aires,Argentina,"Aeroporto Buenos Aires Jorge Newbery, Buenos Aires, Argentina (AEP)","Voo internacional de Aracaju para Buenos Aires, Buenos Aires, Argentina.",https://pedrofreitas-jbq.github.io/test_hotel_list_poc/imagens/air.jpg,0,,,BRL,,Internacional,AIR,,,,Voo para Buenos Aires,,,,,
AIR-0FF86B4FC2D0E3E107B6,https://www.cvc.com.br/passagens/v2/search/AJU/AKL?fType=oneway&CLA=eco&ADT=1&CHD=0&INF=0&MCO1=Aracaju%20-%20SE%20%2C%20Brasil&MCD1=Aeroporto%20Internacional%20Auckland%2C%20Auckland%2C%20Nova%20Zelandia%20(AKL)&Date1=2026-10-02&STO=PACKAGE,Aracaju → Auckland,AEREO,SKU_V1,SKU_V1|AEREO|AJU|AKL,,,AJU,Aracaju,Sergipe,Brasil,"Aracaju - SE , Brasil",AKL,Auckland,Nova Zelandia,Nova Zelandia,"Aeroporto Internacional Auckland, Auckland, Nova Zelandia (AKL)","Voo internacional de Aracaju para Auckland, Nova Zelandia, Nova Zelandia.",https://pedrofreitas-jbq.github.io/test_hotel_list_poc/imagens/air.jpg,0,,,BRL,,Internacional,AIR,,,,Voo para Auckland,,,,,
AIR-1A545198B3896F8EB9FF,https://www.cvc.com.br/passagens/v2/search/AJU/AMS?fType=oneway&CLA=eco&ADT=1&CHD=0&INF=0&MCO1=Aracaju%20-%20SE%20%2C%20Brasil&MCD1=Amsterdam%20-%20North%20Holland%20%2C%20Holanda&Date1=2026-10-02&STO=PACKAGE,Aracaju → Amsterdam,AEREO,SKU_V1,SKU_V1|AEREO|AJU|AMS,,,AJU,Aracaju,Sergipe,Brasil,"Aracaju - SE , Brasil",AMS,Amsterdam,Amsterdam,Holanda,"Amsterdam - North Holland , Holanda","Voo internacional de Aracaju para Amsterdam, Amsterdam, Holanda.",https://pedrofreitas-jbq.github.io/test_hotel_list_poc/imagens/air.jpg,0,,,BRL,,Internacional,AIR,,,,Voo para Amsterdam,,,,,
AIR-43ED3D0F84FB2120D9B4,https://www.cvc.com.br/passagens/v2/search/AJU/ARU?fType=oneway&CLA=eco&ADT=1&CHD=0&INF=0&MCO1=Aracaju%20-%20SE%20%2C%20Brasil&MCD1=Ara%C3%A7atuba%20-%20SP%20%2C%20Brasil&Date1=2026-10-02&STO=PACKAGE,Aracaju → Araçatuba,AEREO,SKU_V1,SKU_V1|AEREO|AJU|ARU,,,AJU,Aracaju,Sergipe,Brasil,"Aracaju - SE , Brasil",ARU,Araçatuba,Sao Paulo,Brasil,"Araçatuba - SP , Brasil","Voo nacional de Aracaju para Araçatuba, Sao Paulo, Brasil.",https://pedrofreitas-jbq.github.io/test_hotel_list_poc/imagens/air.jpg,0,,,BRL,,Nacional,AIR,,,,Voo para Araçatuba,,,,,
AIR-2D7A9E890BFE19BE3F48,https://www.cvc.com.br/passagens/v2/search/AJU/ASU?fType=oneway&CLA=eco&ADT=1&CHD=0&INF=0&MCO1=Aracaju%20-%20SE%20%2C%20Brasil&MCD1=Silvio%20Pettirossi%20International%20Airport%20%2C%20Paraguai%20(ASU)&Date1=2026-10-02&STO=PACKAGE,Aracaju → Assunção,AEREO,SKU_V1,SKU_V1|AEREO|AJU|ASU,,,AJU,Aracaju,Sergipe,Brasil,"Aracaju - SE , Brasil",ASU,Assunção,Assunção,Paraguai,"Silvio Pettirossi International Airport , Paraguai (ASU)","Voo internacional de Aracaju para Assunção, Assunção, Paraguai.",https://pedrofreitas-jbq.github.io/test_hotel_list_poc/imagens/air.jpg,0,,,BRL,,Internacional,AIR,,,,Voo para Assunção,,,,,
AIR-0AC3B3F7156CDA4306CD,https://www.cvc.com.br/passagens/v2/search/AJU/ASW?fType=oneway&CLA=eco&ADT=1&CHD=0&INF=0&MCO1=Aracaju%20-%20SE%20%2C%20Brasil&MCD1=Aswan%20-%20Aswan%20%2C%20Egito&Date1=2026-10-02&STO=PACKAGE,Aracaju → Aswan,AEREO,SKU_V1,SKU_V1|AEREO|AJU|ASW,,,AJU,Aracaju,Sergipe,Brasil,"Aracaju - SE , Brasil",ASW,Aswan,Aswan,Egito,"Aswan - Aswan , Egito","Voo internacional de Aracaju para Aswan, Aswan, Egito.",https://pedrofreitas-jbq.github.io/test_hotel_list_poc/imagens/air.jpg,0,,,BRL,,Internacional,AIR,,,,Voo para Aswan,,,,,
AIR-4C8DFB34F4AFE7B531FD,https://www.cvc.com.br/passagens/v2/search/AJU/ATL?fType=oneway&CLA=eco&ADT=1&CHD=0&INF=0&MCO1=Aracaju%20-%20SE%20%2C%20Brasil&MCD1=Atlanta%20-%20GA%20%2C%20Estados%20Unidos%20da%20America&Date1=2026-10-02&STO=PACKAGE,Aracaju → Atlanta,AEREO,SKU_V1,SKU_V1|AEREO|AJU|ATL,,,AJU,Aracaju,Sergipe,Brasil,"Aracaju - SE , Brasil",ATL,Atlanta,Georgia,Estados Unidos Da America,"Atlanta - GA , Estados Unidos da America","Voo internacional de Aracaju para Atlanta, Georgia, Estados Unidos Da America.",https://pedrofreitas-jbq.github.io/test_hotel_list_poc/imagens/air.jpg,0,,,BRL,,Internacional,AIR,,,,Voo para Atlanta,,,,,
